id,answer,topic,difficulty
1,A,تعريفات التقويم,متوسط
2,B,تعريفات التقويم,صعب
3,C,تعريفات التقويم,متوسط
4,B,تعريفات التقويم,صعب
5,B,تعريفات التقويم,متوسط
6,C,تعريفات التقويم,صعب
7,B,تعريفات التقويم,متوسط
8,A,تعريفات التقويم,صعب
9,B,تعريفات التقويم,متوسط
10,B,تعريفات التقويم,صعب
11,B,أنماط وأهداف التقويم,متوسط
12,B,أنماط وأهداف التقويم,متوسط
13,B,أنماط وأهداف التقويم,صعب
14,B,أنماط وأهداف التقويم,متوسط
15,B,أنماط وأهداف التقويم,صعب
16,A,أنماط وأهداف التقويم,متوسط
17,C,أنماط وأهداف التقويم,صعب
18,B,أنماط وأهداف التقويم,متوسط
19,B,أنماط وأهداف التقويم,صعب
20,B,أنماط وأهداف التقويم,متوسط
21,A,معايير وأنواع التقويم,متوسط
22,B,معايير وأنواع التقويم,صعب
23,B,معايير وأنواع التقويم,متوسط
24,A,أنواع التقويم,متوسط
25,A,أنواع التقويم,صعب
26,A,أدوات ومستويات التقويم,متوسط
27,B,أدوات ومستويات التقويم,متوسط
28,D,مستويات التقويم,صعب
29,C,مستويات التقويم,متوسط
30,B,مستويات التقويم,صعب
31,B,التقويم المؤسسي والبرامجي,متوسط
32,A,التقويم المؤسسي والبرامجي,متوسط
33,B,التقويم المؤسسي والبرامجي,متوسط
34,B,التقويم المؤسسي والبرامجي,صعب
35,A,التقويم المؤسسي والبرامجي,متوسط
36,A,التقويم المؤسسي والبرامجي,صعب
37,A,التقويم المؤسسي والبرامجي,متوسط
38,B,التقويم المؤسسي والبرامجي,صعب
39,A,التقويم المؤسسي والبرامجي,متوسط
40,B,التقويم المؤسسي والبرامجي,صعب
41,A,المفاهيم المتخصصة,متوسط
42,A,المفاهيم المتخصصة,متوسط
43,A,المفاهيم المتخصصة,متوسط
44,A,المفاهيم المتخصصة,صعب
45,A,المفاهيم المتخصصة,متوسط
46,A,المفاهيم المتخصصة,متوسط
47,A,المفاهيم المتخصصة,صعب
48,A,المفاهيم المتخصصة,متوسط
49,A,المفاهيم المتخصصة,صعب
50,A,المفاهيم المتخصصة,متوسط
51,A,الأهداف والتخطيط والجودة,متوسط
52,A,الأهداف والتخطيط والجودة,متوسط
53,B,الأهداف والتخطيط والجودة,صعب
54,A,الأهداف والتخطيط والجودة,متوسط
55,A,الأهداف والتخطيط والجودة,متوسط
56,A,الأهداف والتخطيط والجودة,صعب
57,A,الأهداف والتخطيط والجودة,متوسط
58,A,الأهداف والتخطيط والجودة,صعب
59,A,الأهداف والتخطيط والجودة,متوسط
60,A,الأهداف والتخطيط والجودة,صعب
61,A,المعايير والمؤشرات,متوسط
62,A,المعايير والمؤشرات,متوسط
63,A,المعايير والمؤشرات,متوسط
64,A,المعايير والمؤشرات,متوسط
65,A,المعايير والمؤشرات,صعب
66,A,المعايير والمؤشرات,صعب
67,A,المعايير والمؤشرات,متوسط
68,A,المعايير والمؤشرات,متوسط
69,A,المعايير والمؤشرات,صعب
70,A,المعايير والمؤشرات,متوسط
71,A,مؤشرات الأداء المؤسسي,متوسط
72,A,مؤشرات الأداء المؤسسي,صعب
73,A,مؤشرات الأداء المؤسسي,متوسط
74,A,مؤشرات الأداء المؤسسي,صعب
75,A,مؤشرات الأداء المؤسسي,متوسط
76,A,مؤشرات الأداء المؤسسي,صعب
77,A,استراتيجيات ونماذج التقويم,متوسط
78,A,استراتيجيات ونماذج التقويم,متوسط
79,A,استراتيجيات ونماذج التقويم,صعب
80,A,استراتيجيات ونماذج التقويم,صعب
81,A,النماذج الحديثة,متوسط
82,A,النماذج الحديثة,صعب
83,A,النماذج الحديثة,متوسط
84,A,النماذج الحديثة,متوسط
85,A,النماذج الحديثة,صعب
86,A,تطبيقات BSC,متوسط
87,A,تطبيقات BSC,صعب
88,A,تصميم دراسات التقويم,متوسط
89,A,تصميم دراسات التقويم,صعب
90,A,تصميم دراسات التقويم,متوسط
91,A,تصميمات التقويم,متوسط
92,A,تصميمات التقويم,متوسط
93,A,تصميمات التقويم,صعب
94,A,مراحل التقويم,متوسط
95,A,مراحل التقويم,صعب
96,A,CIPP,متوسط
97,A,CIPP,متوسط
98,A,CIPP,صعب
99,A,CIPP,متوسط
100,A,CIPP,صعب
