question_id,correct_label,correct_text,domain
1,ب,عملية منهجية لجمع بيانات كمية ونوعية وتحليلها في ضوء معايير لإصدار حكم وتحسين القرار.,تعريفات التقويم وأنماطه
2,د,تحديد الفجوة بين ما خُطط له وما نُفذ فعليًا.,تعريفات التقويم وأنماطه
3,ج,يوفر معلومات منظمة تساعد في اختيار بدائل أو تعديل مسار أو إصدار حكم.,تعريفات التقويم وأنماطه
4,أ,يعطي وصفًا كميًا أو درجة، بينما التقويم يفسرها في ضوء معيار وقرار.,تعريفات التقويم وأنماطه
5,أ,تقويم؛ لأنه جمع بين البيانات والمحك والحكم والتحسين.,تعريفات التقويم وأنماطه
6,ج,جمع بيانات كثيرة دون ربطها بسؤال تقويمي أو قرار لاحق.,تعريفات التقويم وأنماطه
7,ب,مرجعًا أو مستوى أداء تُقارن به النتائج لإصدار حكم.,تعريفات التقويم وأنماطه
8,أ,تحليل خبرات الطلاب السابقة قبل بدء البرنامج لتعديل خطة التدريس.,تعريفات التقويم وأنماطه
9,د,تقديم تغذية راجعة أثناء التنفيذ تسمح بتعديل التدريس أو البرنامج.,تعريفات التقويم وأنماطه
10,ج,يركز على الحكم على النتائج بعد اكتمال البرنامج أو المرحلة.,تعريفات التقويم وأنماطه
11,د,التقويم المقارن القائم على محكات مشتركة بين البرنامجين.,تعريفات التقويم وأنماطه
12,د,يعتمد إجراءات موثقة وأدوات واضحة ومعايير معلنة.,تعريفات التقويم وأنماطه
13,أ,عند الحاجة إلى فهم أسباب السلوك التنظيمي وخبرات المشاركين وسياق التطبيق.,تعريفات التقويم وأنماطه
14,ج,يجمع دقة المؤشرات الكمية مع عمق تفسير البيانات النوعية.,تعريفات التقويم وأنماطه
15,أ,فهم الأداء من داخل المؤسسة وبناء تحسين مستمر قابل للتنفيذ.,تعريفات التقويم وأنماطه
16,ج,عندما يُستخدم وحده لإصدار قرار اعتماد أو إغلاق برنامج.,تعريفات التقويم وأنماطه
17,أ,مدى توافق الأداء مع معايير معلنة وتحسينه بناءً على الشواهد.,تعريفات التقويم وأنماطه
18,أ,الاختبار أداة لجمع بيانات عن أداء محدد، أما التقويم فيشمل الحكم والتحسين.,تعريفات التقويم وأنماطه
19,د,تقدم معلومات قابلة للاستخدام لتحسين تعلم أو أداء أو قرار.,تعريفات التقويم وأنماطه
20,ج,تفسير التباين بين المصادر قبل إصدار الحكم النهائي.,تعريفات التقويم وأنماطه
21,د,تقيس السمة أو المخرج الذي صممت لقياسه فعلًا.,المعايير والأدوات والمستويات
22,أ,الثبات.,المعايير والأدوات والمستويات
23,ج,تقل آثار تحيز المقوم عبر محكات وإجراءات تصحيح واضحة.,المعايير والأدوات والمستويات
24,د,استخدام اختبار حفظ لقياس قدرة الطلاب على تصميم مشروع تطبيقي.,المعايير والأدوات والمستويات
25,ب,يغطي الجوانب الرئيسة للأداء ولا يختزل البرنامج في مؤشر واحد.,المعايير والأدوات والمستويات
